Aala,PROPN,Aala
Abaone,PROPN,Abaone
abatua,NOUN,abattoir
Abednego,NOUN,Abednego
abiliti,NOUN,ability
Abnatavoa,PROPN,Abnatavoa
abong,INTJ,oh yeah?
abrojini,NOUN,aborigine
abu,NOUN,grandparent
Abulanga,PROPN,Abulanga
ABV,PROPN,Australian Business Volunteer
Abwantuntora,PROPN,Abwantuntora
Abwatunbuliva,PROPN,Abwatunbuliva
Abwatunvele,PROPN,Abwatunvele
Abwatvenue,PROPN,Abwatvenue
abyus,NOUN,abuse
abyusem,VERB,abuse
ademap,VERB,add
adjektif,NOUN,adjective
Adolala,PROPN,Adolala
adoptem,VERB,adopt
adres,NOUN,address
adresem,VERB,address
advaes,NOUN,advice
advaesa,NOUN,advisor
advaesem,VERB,advise
advataes,VERB,advertise
advataesem,VERB,advertise
advataesmen,NOUN,advertisement
ae,NOUN,eye
aean,NOUN,iron
aeanso,NOUN,hacksaw
aeantri,NOUN,sheoak
aeawe,INTJ,oh dear!
aedia,NOUN,idea
aedin,NOUN,iodine
aedol,NOUN,idol
aeglas,NOUN,glasses
aelan,NOUN,island
aenem,VERB,iron
aes,NOUN,ice
Aesak,NOUN,Isaac
aesblok,NOUN,iceblock
aesbokis,NOUN,refrigerator
Aese,PROPN,Aese
Aese,PROPN,Aese
Aesea,NOUN,Isaiah
aesi,INTJ,I see
aeskrim,NOUN,icecream
aesoping,VERB,window shopping
aesren,NOUN,hail
aeswota,NOUN,ice water
aetem,NOUN,item
af,NOUN,aft
AFD,PROPN,Agence Francais Developpement
afektem,VERB,affect
afsaed,ADV,outside
afsaed,ADP,outside
afsaed,NOUN,outside
afta,ADP,after
afta,ADV,after
aftarem,VERB,seek
aftasef,NOUN,aftershave
aftatumora,ADV,day after tomorrow
aftenun,NOUN,afternoon
Agabus,NOUN,Agabus
aganaes,VERB,be organised
agens,VERB,oppose
agensem,ADP,against
agri,VERB,agree
agrikalja,NOUN,agriculture
agrimen,NOUN,agreement
Agripa,NOUN,Agrippa
Ahuku,PROPN,Ahuku
Aim,PROPN,Aim
Airport,PROPN,Airport
aj,NOUN,adze
ajenda,NOUN,agenda
Ajin,PROPN,Atchin
Akaea,NOUN,Achaia
akaef,NOUN,archive
Akam,PROPN,Akhamb
akis,NOUN,axe
ako,INTJ,wow
akriflevin,NOUN,acriflavine
aksen,NOUN,action
aksiden,NOUN,accident
aksidong,NOUN,accident
akta,NOUN,actor
aktem,VERB,act
Aktep,PROPN,Aktep
Akwila,NOUN,Aquila
alabasta,NOUN,alabaster
alala,INTJ,oh boy!
alaminiom,NOUN,aluminium
alao,VERB,allowed
Alao,PROPN,Alao
Alarip,PROPN,Alarip
Alavas,PROPN,Alavas
alawem,VERB,allow
albom,NOUN,album
ale,INTJ,ok
Aleksanda,NOUN,Alexander
Aleksandria,NOUN,Alexandria
alfabet,NOUN,alphabet
Alfeas,NOUN,Alphaeus
algita,NOUN,crocodile
Alial,PROPN,Alial
alikol,NOUN,alcohol
alkol,NOUN,alcohol
alkolik,NOUN,alcoholic
Allak,PROPN,Allak
almanak,NOUN,calendar
Alnawirir,PROPN,Alnawirir
alo,INTJ,so there!
Aloha,PROPN,Aloha
Alologeha,PROPN,Alologeha
Alowaru,PROPN,Alowaru
alto,NOUN,alto
Amahirua,PROPN,Amahirua
Amalau,PROPN,Amalau
Amalhatili,PROPN,Amalhatili
Amalo,PROPN,Amalo
Amambwelao,PROPN,Amambwelao
Amanusa,PROPN,Amanusa
Amaro,PROPN,Amaro
amata,ADJ,amateur
Amata,PROPN,Amata
Amatbobo,PROPN,Amatbobo
Ambae,PROPN,Ambae
Ambaebulu,PROPN,Ambaebulu
Ambaghura,PROPN,Ambaghura
Ambanga,PROPN,Ambanga
